code,category,detail,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10
7028,Construction,NP Margin,6.26 %,21.97 %,40.45 %,-10.57 %,-7.13 %,-13.68 %,0.67 %,0.85 %,1.00 %,4.13 %
7028,Construction,ROE,4.62 %,12.79 %,32.86 %,-19.94 %,-25.74 %,-21.00 %,0.89 %,0.85 %,1.10 %,3.26 %
7028,Construction,EPS,9.94,11.77,26.29,-10.77,-16.74,-18.90,1.09,1.06,1.54,4.89
7028,Construction,EPS GR,  -15.55%  ,  -55.23%  ,  344.10%  ,  35.66%  ,  11.43%  ,"  -1,833.94%  ",  2.83%  ,  -31.17%  ,  -68.51%  ,  -  
7028,Construction,DPS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7028,Construction,Price,0.4250,0.5700,0.6300,0.7650,0.8550,0.5350,0.5000,0.5900,0.4800,0.6300
7028,Construction,P/E,4.28,4.84,2.40,-7.10,-5.11,-2.83,45.90,55.66,31.17,12.88
7028,Construction,DY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5169,Construction,Year End,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,31/12/10,31/12/09
5169,Construction,NP,"27,395","40,544","65,791","71,114","65,750","22,495","-12,108","-10,346","-13,606","34,519"
5169,Construction,Div,-,-,-,-,-,-,-,-,-,-
5169,Construction,Div Payout,- %,- %,- %,- %,- %,- %,- %,- %,- %,- %
5169,Construction,NOSH,"374,874","374,870","351,164","343,214","261,769","102,018","102,016","101,991","106,303","101,483"
5169,Construction,NP Margin,10.19 %,21.65 %,26.96 %,23.57 %,19.70 %,18.57 %,-29.41 %,-36.06 %,-20.95 %,-43.29 %
5169,Construction,ROE,7.53 %,12.02 %,23.72 %,31.39 %,64.40 %,27.22 %,0.00 %,0.00 %,0.00 %,0.00 %
5169,Construction,EPS,7.31,10.82,18.84,20.72,25.11,22.05,-11.87,-10.14,-13.20,-33.84
5169,Construction,EPS GR,  -32.44%  ,  -42.57%  ,  -9.07%  ,  -17.48%  ,  13.88%  ,  285.76%  ,  -17.06%  ,  23.18%  ,  60.99%  ,  -  
5169,Construction,DPS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5169,Construction,Price,0.3150,0.5300,0.8200,1.0600,1.2600,1.2100,0.6900,0.5800,0.6100,0.8800
5169,Construction,P/E,4.31,4.90,4.38,5.12,5.02,5.49,-5.81,-5.72,-4.77,2.59
5169,Construction,DY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9261,Construction,Year End,31/05/18,31/05/17,31/05/16,31/05/15,31/05/14,31/05/13,31/05/12,31/05/11,31/05/10,31/05/09
9261,Construction,NP,"95,122","100,376","94,767","59,620","43,225","20,470","14,451","-4,404","14,867","3,030"
9261,Construction,Div,"19,765","19,440","16,200","10,818","7,869","5,900","3,931",-,-,-
9261,Construction,Div Payout,20.78 %,19.37 %,17.09 %,18.15 %,18.21 %,28.83 %,27.21 %,- %,- %,- %
9261,Construction,NOSH,"658,851","648,005","231,432","216,377","196,732","196,686","196,578","176,182","118,025","118,113"
9261,Construction,NP Margin,16.03 %,18.55 %,14.06 %,10.35 %,8.14 %,5.80 %,5.58 %,-1.19 %,5.12 %,1.44 %
9261,Construction,ROE,13.62 %,16.31 %,49.94 %,15.66 %,14.45 %,7.77 %,5.88 %,-2.10 %,7.87 %,1.77 %
9261,Construction,EPS,14.44,15.49,16.84,27.79,21.98,10.41,7.35,-2.24,12.64,2.57
9261,Construction,EPS GR,  -6.78%  ,  -8.02%  ,  -39.40%  ,  26.43%  ,  111.14%  ,  41.63%  ,  428.12%  ,  -117.72%  ,  391.83%  ,  -  
9261,Construction,DPS,3.00,3.00,7.00,5.00,4.00,3.00,2.00,0.00,0.00,0.00
9261,Construction,Price,0.6650,1.2500,2.0800,1.4600,1.6600,0.9150,0.5700,0.6800,0.8300,0.5400
9261,Construction,P/E,4.61,8.07,5.08,5.30,7.56,8.79,7.75,-27.20,6.59,21.05
9261,Construction,DY,4.51,2.40,3.37,3.42,2.41,3.28,3.51,0.00,0.00,0.00
9571,Construction,Year End,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,31/12/10,31/12/09
9571,Construction,NP,"44,569","80,456","118,684","86,576","53,769","29,317","17,930","40,797","49,877","41,206"
9571,Construction,Div,"13,374","13,777","32,782","31,239","19,713",-,-,"19,315","14,446","12,262"
9571,Construction,Div Payout,30.01 %,17.12 %,27.62 %,36.08 %,36.66 %,- %,- %,47.35 %,28.96 %,29.76 %
9571,Construction,NOSH,"891,651","688,891","655,648","624,789","394,262","394,576","394,331","386,315","120,384","122,624"
9571,Construction,NP Margin,5.02 %,6.27 %,12.55 %,10.09 %,10.24 %,8.47 %,7.54 %,15.66 %,16.94 %,13.94 %
9571,Construction,ROE,5.26 %,10.71 %,19.68 %,17.77 %,13.78 %,8.44 %,5.41 %,12.72 %,35.41 %,16.31 %
9571,Construction,EPS,4.98,11.87,18.10,13.85,9.10,7.43,4.54,10.56,12.91,33.61
9571,Construction,EPS GR,  -58.05%  ,  -34.42%  ,  30.69%  ,  52.20%  ,  22.48%  ,  63.66%  ,  -57.01%  ,  -18.20%  ,  -61.59%  ,  -  
9571,Construction,DPS,1.50,2.00,5.00,5.00,5.00,0.00,0.00,5.00,12.00,10.00
9571,Construction,Price,0.2800,0.9700,1.2600,1.2000,0.9800,0.5050,0.4300,0.4700,0.5500,0.2500
9571,Construction,P/E,5.60,8.31,6.96,8.66,7.19,6.80,9.46,4.45,1.33,0.74
9571,Construction,DY,5.36,2.06,3.97,4.17,5.10,0.00,0.00,10.64,21.82,40.00
5171,Construction,Year End,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,31/12/10,31/12/09
5171,Construction,NP,"61,139","68,694","81,921","70,702","44,598","35,715","49,501","42,712","36,559",0
5171,Construction,Div,"12,279","17,598","20,167","17,435","11,134","7,215","11,440","11,680","5,686",-
5171,Construction,Div Payout,20.08 %,25.62 %,24.62 %,24.66 %,24.97 %,20.20 %,23.11 %,27.35 %,15.56 %,- %
5171,Construction,NOSH,"331,871","319,973","310,270","300,603","293,008","240,514","238,347","229,024","203,105",-
5171,Construction,NP Margin,6.03 %,6.96 %,8.71 %,6.71 %,3.70 %,3.75 %,5.51 %,6.54 %,6.93 %,- %
5171,Construction,ROE,9.20 %,11.32 %,15.19 %,15.38 %,11.42 %,11.94 %,18.16 %,19.76 %,22.22 %,- %
5171,Construction,EPS,18.81,21.87,26.77,23.52,15.22,14.85,20.77,18.66,18.00,0.00
5171,Construction,EPS GR,  -13.99%  ,  -18.30%  ,  13.82%  ,  54.53%  ,  2.49%  ,  -28.50%  ,  11.31%  ,  3.67%  ,  0.00%  ,  -  
5171,Construction,DPS,3.70,5.50,6.50,5.80,3.80,3.00,4.80,5.10,2.80,0.00
5171,Construction,Price,1.0800,2.2200,2.0800,1.3800,1.1900,1.8300,1.3900,1.3700,1.5600,0.0000
5171,Construction,P/E,5.86,10.34,7.88,5.87,7.82,12.32,6.69,7.35,8.67,0.00
5171,Construction,DY,3.43,2.48,3.13,4.20,3.19,1.64,3.45,3.72,1.79,0.00
5226,Construction,Year End,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,,
5226,Construction,NP,"63,569","48,038","22,632","-9,666","52,949","42,840","21,613",0,,
5226,Construction,Div,-,"8,182",-,-,-,"6,789","4,995",-,,
5226,Construction,Div Payout,- %,17.03 %,- %,- %,- %,15.85 %,23.11 %,- %,,
5226,Construction,NOSH,"468,906","409,103","390,588","389,212","367,470","355,470","320,192",-,,
5226,Construction,NP Margin,11.29 %,10.56 %,8.57 %,-5.94 %,13.72 %,12.64 %,6.98 %,- %,,
5226,Construction,ROE,13.69 %,11.40 %,6.58 %,-3.03 %,16.75 %,16.97 %,10.07 %,- %,,
5226,Construction,EPS,13.56,11.74,5.80,-2.49,14.41,12.05,6.75,0.00,,
5226,Construction,EPS GR,  15.50%  ,  102.41%  ,  332.93%  ,  -117.28%  ,  19.59%  ,  78.52%  ,  0.00%  ,  -  ,,
5226,Construction,DPS,0.00,2.00,0.00,0.00,0.00,1.91,1.56,0.00,,
5226,Construction,Price,0.8550,1.9300,0.9050,0.8300,1.2500,1.0600,1.0900,0.0000,,
5226,Construction,P/E,6.31,16.44,15.62,-33.42,8.68,8.80,16.15,0.00,,
5226,Construction,DY,0.00,1.04,0.00,0.00,0.00,1.80,1.43,0.00,,
0192,Construction,Year End,31/12/18,31/12/17,31/12/16, - , - ,,,,,
0192,Construction,NP,"21,200","15,801",-, - , - ,,,,,
0192,Construction,Div,"4,014",-,-, - , - ,,,,,
0192,Construction,Div Payout,18.94 %,- %,- %, -  %, -  %,,,,,
0192,Construction,NOSH,"535,259","535,259",-, - , - ,,,,,
0192,Construction,NP Margin,5.53 %,5.48 %,- %, -  %, -  %,,,,,
0192,Construction,ROE,17.84 %,16.13 %,- %, -  %, -  %,,,,,
0192,Construction,EPS,3.96,2.95,-, - , - ,,,,,
0192,Construction,EPS GR,  34.24%  ,  0.00%  ,  -  ,  -  ,  -  ,,,,,
0192,Construction,DPS,0.75,0.00,-, - , - ,,,,,
0192,Construction,Price,0.2800,0.3650,0.0000, - , - ,,,,,
0192,Construction,P/E,7.07,12.36,0.00, - , - ,,,,,
0192,Construction,DY,2.68,0.00,0.00, - , - ,,,,,
8761,Construction,Year End,31/03/18,31/03/17,31/03/16,31/03/15,31/03/14,31/03/13,31/03/12,31/03/11,31/03/10,31/03/09
8761,Construction,NP,"41,004","4,754","16,139","42,473","36,493","22,443","34,065","43,213","11,746","13,477"
8761,Construction,Div,103,-,-,"20,065","10,090","10,201","9,970","6,762","6,387","6,141"
8761,Construction,Div Payout,0.25 %,- %,- %,47.24 %,27.65 %,45.45 %,29.27 %,15.65 %,54.38 %,45.57 %
8761,Construction,NOSH,"344,335","331,126","329,367","334,433","168,170","170,022","166,170","135,252","127,744","122,821"
8761,Construction,NP Margin,24.43 %,7.35 %,21.25 %,59.82 %,32.87 %,25.07 %,30.19 %,48.66 %,16.17 %,15.52 %
8761,Construction,ROE,7.44 %,0.94 %,3.14 %,8.25 %,7.70 %,4.78 %,7.56 %,10.14 %,3.27 %,3.69 %
8761,Construction,EPS,11.90,1.40,4.90,12.70,21.70,13.20,20.50,25.70,9.20,11.00
8761,Construction,EPS GR,  750.00%  ,  -71.43%  ,  -61.42%  ,  -41.47%  ,  64.39%  ,  -35.61%  ,  -20.23%  ,  179.35%  ,  -16.36%  ,  -  
8761,Construction,DPS,0.03,0.00,0.00,6.00,6.00,6.00,6.00,5.00,5.00,5.00
8761,Construction,Price,0.8750,0.8750,0.9150,1.0300,1.8700,1.1200,1.2200,1.3000,1.1600,0.9600
8761,Construction,P/E,7.35,60.95,18.67,8.11,8.62,8.48,5.95,4.07,12.62,8.75
8761,Construction,DY,0.03,0.00,0.00,5.83,3.21,5.36,4.92,3.85,4.31,5.21
5205,Construction,Year End,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,31/12/10,
5205,Construction,NP,"70,089","86,511","-278,883","55,900","37,404","32,636","115,362","119,455",-,
5205,Construction,Div,-,-,-,"3,871","9,680","7,747","30,969","6,737",-,
5205,Construction,Div Payout,- %,- %,- %,6.93 %,25.88 %,23.74 %,26.85 %,5.64 %,- %,
5205,Construction,NOSH,"780,999","775,641","773,979","774,238","774,409","774,700","774,241","673,745",-,
5205,Construction,NP Margin,4.30 %,4.80 %,-17.32 %,3.48 %,3.63 %,3.39 %,11.90 %,12.73 %,- %,
5205,Construction,ROE,7.36 %,9.78 %,-32.17 %,4.98 %,4.09 %,3.86 %,14.75 %,16.57 %,- %,
5205,Construction,EPS,8.97,11.15,-36.04,7.22,4.83,4.22,14.90,17.73,-,
5205,Construction,EPS GR,  -19.55%  ,  130.94%  ,  -599.17%  ,  49.48%  ,  14.45%  ,  -71.68%  ,  -15.96%  ,  0.00%  ,  -  ,
5205,Construction,DPS,0.00,0.00,0.00,0.50,1.25,1.00,4.00,1.00,-,
5205,Construction,Price,0.6700,0.8650,0.5750,0.7650,0.7800,1.0400,1.3300,1.7000,0.0000,
5205,Construction,P/E,7.47,7.76,-1.60,10.60,16.15,24.69,8.93,9.59,0.00,
5205,Construction,DY,0.00,0.00,0.00,0.65,1.60,0.96,3.01,0.59,0.00,
5924,Construction,Year End,31/03/18,31/03/17,31/03/16,31/03/15,31/03/14,31/03/13,31/03/12,31/03/11,31/03/10,31/03/09
5924,Construction,NP,"7,073","-7,089","-3,643","-32,091","-100,794","8,523","-31,797","-15,024","-18,344","-52,373"
5924,Construction,Div,-,-,-,-,-,-,-,-,-,"2,177"
5924,Construction,Div Payout,- %,- %,- %,- %,- %,- %,- %,- %,- %,- %
5924,Construction,NOSH,"230,996","230,996","230,437","231,120","234,295","230,994","231,079","230,870","230,962","217,707"
5924,Construction,NP Margin,2.47 %,-1.98 %,-1.33 %,-8.63 %,-30.30 %,5.58 %,-9.14 %,-2.70 %,-2.54 %,-5.97 %
5924,Construction,ROE,7.47 %,-6.53 %,-3.44 %,-51.43 %,-143.40 %,4.92 %,-19.11 %,-7.84 %,-9.13 %,-26.73 %
5924,Construction,EPS,3.06,-3.07,-1.57,-13.89,-43.02,6.45,-13.76,-6.50,-7.94,-22.67
5924,Construction,EPS GR,  199.67%  ,  -95.54%  ,  88.70%  ,  67.71%  ,  -766.98%  ,  146.87%  ,  -111.69%  ,  18.14%  ,  64.98%  ,  -  
5924,Construction,DPS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
5924,Construction,Price,0.2300,0.3700,0.2700,0.3000,0.4500,0.3000,0.4300,0.5300,0.4800,0.3000
5924,Construction,P/E,7.51,-11.28,-17.08,-2.16,-1.05,8.13,-3.12,-8.14,-6.04,-1.25
5924,Construction,DY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33
7047,Construction,Year End,30/06/18,30/06/17,30/06/16,30/06/15,30/06/14,30/06/13,30/06/12,30/06/11,30/06/10,30/06/09
7047,Construction,NP,"17,463","38,791","10,742","-2,592","3,026","4,176","-21,280","13,704","24,687","14,391"
7047,Construction,Div,"5,591",36,33,32,-,-,-,"9,966","9,154","1,791"
7047,Construction,Div Payout,32.02 %,0.09 %,0.31 %,- %,- %,- %,- %,72.73 %,37.08 %,12.45 %
7047,Construction,NOSH,"372,773","362,194","334,899","328,101","207,260","188,108","175,144","166,105","152,577","119,426"
7047,Construction,NP Margin,10.35 %,17.57 %,7.45 %,-0.02 %,0.93 %,1.96 %,-15.13 %,7.57 %,14.84 %,7.78 %
7047,Construction,ROE,6.08 %,14.71 %,5.04 %,-1.24 %,1.98 %,2.94 %,-16.84 %,9.61 %,18.92 %,15.46 %
7047,Construction,EPS,4.72,10.71,3.21,-0.79,1.46,2.22,-12.15,8.19,16.18,12.05
7047,Construction,EPS GR,  -55.93%  ,  233.64%  ,  506.33%  ,  -154.11%  ,  -34.23%  ,  118.27%  ,  -248.35%  ,  -49.38%  ,  34.27%  ,  -  
7047,Construction,DPS,1.50,0.01,0.01,0.01,0.00,0.00,0.00,6.00,6.00,1.50
7047,Construction,Price,0.3850,0.9800,0.5500,0.4400,0.5700,0.6300,0.8600,1.0500,0.9100,0.9500
7047,Construction,P/E,8.22,9.15,17.15,-55.70,39.04,28.38,-7.08,12.73,5.62,7.88
7047,Construction,DY,3.90,0.01,0.02,0.02,0.00,0.00,0.00,5.71,6.59,1.58
7145,Construction,Year End,30/06/18,30/06/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,31/12/10,31/12/09
7145,Construction,NP,"5,515",0,"4,333","1,874","4,642","4,545","3,802","3,311","2,268","-8,924"
7145,Construction,Div,-,-,-,-,-,-,-,-,-,-
7145,Construction,Div Payout,- %,- %,- %,- %,- %,- %,- %,- %,- %,- %
7145,Construction,NOSH,"348,652","316,957","316,957","317,796","317,687","126,822","126,701","126,858","126,449","126,746"
7145,Construction,NP Margin,3.55 %,- %,2.42 %,0.99 %,2.02 %,0.94 %,1.53 %,1.60 %,1.18 %,-5.73 %
7145,Construction,ROE,2.82 %,- %,2.32 %,1.03 %,2.66 %,3.41 %,2.97 %,2.66 %,1.89 %,-7.65 %
7145,Construction,EPS,1.58,0.00,1.37,0.59,3.09,3.59,3.00,2.61,1.79,-7.04
7145,Construction,EPS GR,  0.00%  ,  0.00%  ,  132.20%  ,  -80.91%  ,  -13.93%  ,  19.67%  ,  14.94%  ,  45.81%  ,  125.43%  ,  -  
7145,Construction,DPS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7145,Construction,Price,0.1300,0.1700,0.1000,0.1400,0.1400,0.2950,0.2000,0.2300,0.2500,0.3400
7145,Construction,P/E,8.22,0.00,7.31,23.74,9.58,8.23,6.66,8.81,13.94,-4.83
7145,Construction,DY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9679,Construction,Year End,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,31/12/10,31/12/09
9679,Construction,NP,"111,781","154,622","68,375","219,111","122,918","197,548","358,861","165,988","150,331","147,098"
9679,Construction,Div,"23,608","42,457",-,"47,652","67,737","72,470","66,096","76,273","78,812","78,410"
9679,Construction,Div Payout,21.12 %,27.46 %,- %,21.75 %,55.11 %,36.68 %,18.42 %,45.95 %,52.43 %,53.30 %
9679,Construction,NOSH,"1,380,592","1,415,256","1,243,181","1,140,015","1,090,778","1,073,630","944,232","802,881","788,129","784,104"
9679,Construction,NP Margin,2.15 %,7.97 %,3.37 %,12.99 %,7.28 %,11.47 %,22.16 %,10.82 %,12.81 %,4.63 %
9679,Construction,ROE,3.60 %,4.92 %,2.51 %,8.74 %,5.44 %,9.11 %,20.00 %,11.30 %,11.92 %,11.44 %
9679,Construction,EPS,8.01,11.29,5.50,19.22,11.04,18.40,38.01,17.98,19.08,18.76
9679,Construction,EPS GR,  -29.05%  ,  105.27%  ,  -71.38%  ,  74.09%  ,  -40.00%  ,  -51.59%  ,  111.40%  ,  -5.77%  ,  1.71%  ,  -  
9679,Construction,DPS,1.71,3.00,0.00,4.18,6.21,6.75,7.00,9.50,10.00,10.00
9679,Construction,Price,0.6750,1.6200,1.7300,1.6100,1.5900,2.0500,2.3500,2.3800,3.1900,2.6000
9679,Construction,P/E,8.34,14.83,31.45,8.38,14.11,11.14,6.18,11.51,16.72,13.86
9679,Construction,DY,2.53,1.85,0.00,2.60,3.91,3.29,2.98,3.99,3.13,3.85
5703,Construction,Year End,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,31/12/10,31/12/09
5703,Construction,NP,"144,800","131,608","105,501","85,580","81,550","86,379","-93,241","63,772","32,944","12,680"
5703,Construction,Div,"36,055","33,623","26,149","22,894","16,963","18,528","10,160","20,111","13,852","9,540"
5703,Construction,Div Payout,24.90 %,25.55 %,24.79 %,26.75 %,20.80 %,21.45 %,- %,31.54 %,42.05 %,75.24 %
5703,Construction,NOSH,"480,743","480,331","475,443","457,891","424,076","411,739","406,413","402,228","395,784","381,639"
5703,Construction,NP Margin,14.84 %,14.14 %,8.39 %,8.56 %,6.86 %,6.00 %,-2.33 %,4.07 %,2.62 %,1.28 %
5703,Construction,ROE,12.93 %,12.57 %,10.93 %,10.68 %,12.82 %,15.66 %,-20.48 %,12.48 %,7.30 %,3.50 %
5703,Construction,EPS,30.12,27.40,22.19,18.69,19.23,20.98,-22.94,15.85,8.32,3.21
5703,Construction,EPS GR,  9.93%  ,  23.48%  ,  18.73%  ,  -2.81%  ,  -8.34%  ,  191.46%  ,  -244.73%  ,  90.50%  ,  159.19%  ,  -  
5703,Construction,DPS,7.50,7.00,5.50,5.00,4.00,4.50,2.50,5.00,3.50,2.50
5703,Construction,Price,2.7900,2.8400,2.2300,2.2100,1.8700,2.2800,0.8200,1.1300,1.5000,1.0000
5703,Construction,P/E,9.26,10.37,10.05,11.82,9.72,10.87,-3.57,7.13,18.02,30.10
5703,Construction,DY,2.69,2.46,2.47,2.26,2.14,1.97,3.05,4.42,2.33,2.50
5187,Consumer,Year End,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,31/12/10,31/12/09
5187,Consumer,NP,"11,064","13,999","-16,051","-240,870","-24,429","-23,066","26,112","109,653","101,145","71,900"
5187,Consumer,Div,-,-,-,-,-,-,-,-,-,-
5187,Consumer,Div Payout,- %,- %,- %,- %,- %,- %,- %,- %,- %,- %
5187,Consumer,NOSH,"468,000","468,000","468,000","467,981","467,988","468,000","468,000","467,987","337,758","299,958"
5187,Consumer,NP Margin,11.19 %,13.40 %,-17.14 %,-136.87 %,-16.21 %,-13.61 %,8.88 %,25.99 %,24.64 %,25.24 %
5187,Consumer,ROE,5.63 %,7.30 %,-8.79 %,-116.98 %,-6.29 %,-5.87 %,6.20 %,26.03 %,44.04 %,0.53 %
5187,Consumer,EPS,2.36,2.99,-3.43,-51.47,-5.22,-4.93,5.58,23.43,29.97,23.97
5187,Consumer,EPS GR,  -21.07%  ,  187.17%  ,  93.34%  ,  -886.02%  ,  -5.88%  ,  -188.35%  ,  -76.18%  ,  -21.82%  ,  25.03%  ,  -  
5187,Consumer,DPS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5187,Consumer,Price,0.0550,0.0900,0.0350,0.0650,0.0550,0.1450,0.2600,0.5100,0.7100,0.0000
5187,Consumer,P/E,2.33,3.01,-1.02,-0.13,-1.05,-2.94,4.66,2.18,2.37,0.00
5187,Consumer,DY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3905,Consumer,Year End,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,31/12/10,31/12/09
3905,Consumer,NP,"235,699","369,315","16,800","165,123","124,148","-32,256","-474,963","178,926","112,101","-9,729"
3905,Consumer,Div,-,-,-,-,-,-,-,-,-,-
3905,Consumer,Div Payout,- %,- %,- %,- %,- %,- %,- %,- %,- %,- %
3905,Consumer,NOSH,"319,461","319,474","2,670,934","2,133,372","2,133,127","2,164,832","2,279,093","2,334,765","2,110,803","1,172,168"
3905,Consumer,NP Margin,30.03 %,31.55 %,1.32 %,18.37 %,12.99 %,-3.58 %,-87.70 %,27.66 %,15.40 %,1.56 %
3905,Consumer,ROE,7.24 %,11.14 %,0.68 %,6.45 %,5.24 %,-1.42 %,-18.44 %,5.90 %,4.43 %,-0.43 %
3905,Consumer,EPS,73.78,115.60,0.63,7.74,5.82,-1.49,-20.84,7.64,5.31,-0.83
3905,Consumer,EPS GR,  -36.18%  ,"  18,249.21%  ",  -91.86%  ,  32.99%  ,  490.60%  ,  92.85%  ,  -372.77%  ,  43.88%  ,  739.76%  ,  -  
3905,Consumer,DPS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3905,Consumer,Price,1.7500,2.5900,0.2250,0.2600,0.3700,0.4100,0.3900,0.4000,0.5300,0.4700
3905,Consumer,P/E,2.37,2.24,35.77,3.36,6.36,-27.52,-1.87,5.22,9.98,-56.63
3905,Consumer,DY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5214,Consumer,Year End,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,31/12/10,,,
5214,Consumer,NP,"18,535","53,798","-172,547","207,031","226,694","220,642","189,072",,,
5214,Consumer,Div,-,-,-,"19,882","21,476",-,-,,,
5214,Consumer,Div Payout,- %,- %,- %,9.60 %,9.47 %,- %,- %,,,
5214,Consumer,NOSH,"1,242,761","1,242,448","1,243,076","1,242,683","1,193,126","62,589,429","52,519,997",,,
